,LQA Bid-Ask Spread,Yld to Mty (Mid),S&P Outlook,cluster1,Issuer Name
417,0.1771524753122466,5.677013398889844,0,0,JPMorgan Chase & Co
421,0.362685531307103,5.690600700392398,0,2,JPMorgan Chase & Co
422,0.131737233890854,4.922737974237146,-1,1,Intel Corp
423,0.1596459626618177,5.877747964375504,0,0,Morgan Stanley
425,0.129661792604117,4.190947243735944,0,0,JPMorgan Chase & Co
426,0.1864118172124699,4.860879579149649,-1,1,Intel Corp
429,0.0280326397249518,5.91342021136334,0,0,JPMorgan Chase & Co
430,0.2926917825923882,5.800164176191471,0,2,Morgan Stanley
431,0.3929424727943047,7.453275905668415,0,2,Intesa Sanpaolo SpA
434,0.0773297448069198,5.453891641361638,0,0,BlackRock Inc
435,0.3744010556705638,5.628576251137705,-1,1,Intel Corp
437,0.1373019462882946,5.891829465912204,0,0,Morgan Stanley
438,0.118283040814985,4.790218848415149,0,0,BlackRock Inc
439,0.0593520770442648,5.365073585487728,-1,1,Intel Corp
443,0.1683819388101663,5.919643302489561,0,0,Morgan Stanley
445,0.5635118106296133,6.16173042522823,-1,2,UBS Group AG
447,0.2418149931372912,5.2796054127561245,0,0,AbbVie Inc
449,0.1418987901967055,6.182240747545615,-1,1,UBS Group AG
450,0.1758932042103688,5.777861014459285,0,0,JPMorgan Chase & Co
452,0.4650403062668819,8.401758649350707,-1,2,UBS Group AG
454,0.3621495870572319,5.516999854396544,0,2,Morgan Stanley
459,0.336529481766166,6.25966697665686,-1,1,UBS Group AG
460,0.52083808047396,6.787261385099311,0,2,Intesa Sanpaolo SpA
461,0.317284926824111,5.308497576832544,-1,1,Intel Corp
464,0.2800942640684433,5.504203241631583,0,2,JPMorgan Chase & Co
465,0.1507126268801988,5.580054301685745,-1,1,Intel Corp
467,0.3955181877704309,8.006542619331235,0,2,Intesa Sanpaolo SpA
470,0.3136378326753758,5.126543759123917,0,2,Apple Inc
474,0.3648736240730391,6.388810903193167,-1,1,UBS Group AG
476,0.0773277198694516,5.4632778080193605,0,0,Apple Inc
