,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
125,UBS Group AG,1935060000.0,11/14/2022,11/15/2033,A3,A-,USD,US225401BB38,6.580829109045901,9.016,9.016,POS,NEG,0.2190537417206921,80112709880
126,Morgan Stanley,2729058000.0,7/23/2015,7/23/2025,A1,A-,USD,US6174468C63,5.606971740859767,4.01,4.0,STABLE,STABLE,0.0516568271156992,125905011300
130,Morgan Stanley,1477268000.0,11/22/2013,11/24/2025,Baa1,BBB+,USD,US6174467X10,5.673034443505211,5.051,5.0,STABLE,STABLE,0.0844015638618582,125896804740
131,Intel Corp,1406023500.0,2/10/2023,2/10/2026,A2,A,USD,US458140CD04,5.041720222777686,4.875,4.875,NEG,NEG,0.0827865462328896,186958520000
132,Apple Inc,2313057500.0,5/11/2020,5/11/2050,Aaa,AA+,USD,US037833DW79,5.1040320636263266,2.72,2.65,STABLE,STABLE,0.2829936062666227,2962954783520
133,Intesa Sanpaolo SpA,1250000000.0,3/20/2018,3/20/2028,Baa1,BBB,EUR,XS1785340172,4.125975889850608,1.831,1.75,STABLE,STABLE,0.1734277166009936,47827802150
135,Apple Inc,2288889000.0,5/3/2013,5/4/2043,Aaa,AA+,USD,US037833AL42,5.10740572362654,3.8830000000000005,3.85,STABLE,STABLE,0.2546783849524533,2962954783520
136,Apple Inc,455770000.0,5/10/2023,5/10/2030,Aaa,AA+,USD,US037833EU05,4.5432347933480495,4.195,4.15,STABLE,STABLE,0.2277376551437628,2962488200960
138,Deutsche Bank AG,1391407500.0,4/1/2015,4/1/2025,Baa3,BB+,USD,US251525AP63,7.004660830384473,4.549,4.5,STABLE,POS,0.2278624563819511,22573248090
139,JPMorgan Chase & Co,720773000.0,3/10/2014,#N/A Field Not Applicable,Baa2,BBB-,USD,US46625HJW16,8.99317531719216,6.125,6.125,STABLE,STABLE,0.438831387325437,443711960170
140,AbbVie Inc,3295646250.0,5/14/2015,5/14/2025,A3,A-,USD,US00287YAQ26,5.41841740842127,3.621,3.6,STABLE,STABLE,0.0448112158402798,245882865540
141,Apple Inc,718125000.0,5/6/2014,5/6/2044,Aaa,AA+,USD,US037833AT77,5.033565297411163,4.4830000000000005,4.45,STABLE,STABLE,0.2803352465020251,2962488200960
142,Morgan Stanley,1847780000.0,4/23/2015,4/23/2027,Baa1,BBB+,USD,US61761JZN26,5.665172289124871,3.988,3.95,STABLE,STABLE,0.1059603507197802,125896804740
143,Apple Inc,1589854000.0,9/11/2019,9/11/2029,Aaa,AA+,USD,US037833DP29,4.654264157834658,2.244,2.2,STABLE,STABLE,0.1384226979379615,2962488200960
